--------------
Wed Nov 20 22:41:05 2024 TW Stock List
--------------

--------------
2801.TW failed (unsupported format string passed to NoneType.__format__)
1605.TW failed (unsupported format string passed to NoneType.__format__)
1709.TW failed (unsupported format string passed to NoneType.__format__)
3035.TW failed (unsupported format string passed to NoneType.__format__)
1789.TW failed (unsupported format string passed to NoneType.__format__)
2634.TW failed (unsupported format string passed to NoneType.__format__)
3189.TW failed (unsupported format string passed to NoneType.__format__)
1304.TW failed (unsupported format string passed to NoneType.__format__)
6541.TW failed (unsupported format string passed to NoneType.__format__)
8028.TW failed (unsupported format string passed to NoneType.__format__)
2331.TW failed (unsupported format string passed to NoneType.__format__)
2504.TW failed (unsupported format string passed to NoneType.__format__)
9919.TW failed (unsupported format string passed to NoneType.__format__)
3702.TW failed (unsupported format string passed to NoneType.__format__)
4952.TW failed (unsupported format string passed to NoneType.__format__)
2363.TW failed (unsupported format string passed to NoneType.__format__)
2421.TW failed (unsupported format string passed to NoneType.__format__)
2419.TW failed (unsupported format string passed to NoneType.__format__)
2392.TW failed (unsupported format string passed to NoneType.__format__)
3005.TW failed (unsupported format string passed to NoneType.__format__)
3419.TW failed (unsupported format string passed to NoneType.__format__)
8210.TW failed (unsupported format string passed to NoneType.__format__)
2009.TW failed (unsupported format string passed to NoneType.__format__)
4137.TW failed (unsupported format string passed to NoneType.__format__)
1460.TW failed (unsupported format string passed to NoneType.__format__)
1515.TW failed (unsupported format string passed to NoneType.__format__)
2461.TW failed (unsupported format string passed to NoneType.__format__)
6215.TW failed (unsupported format string passed to NoneType.__format__)
6869.TW failed (unsupported format string passed to NoneType.__format__)
8039.TW failed (unsupported format string passed to NoneType.__format__)
6155.TW failed (unsupported format string passed to NoneType.__format__)
3437.TW failed (unsupported format string passed to NoneType.__format__)
8404.TW failed (unsupported format string passed to NoneType.__format__)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
