--------------
Tue May 13 23:46:10 2025 TW Stock List
--------------
2838.TW, Close: 17.20, RSI(talib): 63.19
9907.TW, Close: 20.80, RSI(talib): 77.18
2383.TW, Close: 674.00, RSI(talib): 68.89
8222.TW, Close: 65.30, RSI(talib): 67.98
4916.TW, Close: 45.85, RSI(talib): 60.99
2645.TW, Close: 107.50, RSI(talib): 62.34
2547.TW, Close: 14.55, RSI(talib): 67.55
1616.TW, Close: 24.40, RSI(talib): 63.89
6215.TW, Close: 109.50, RSI(talib): 68.62
4532.TW, Close: 30.55, RSI(talib): 60.88
2480.TW, Close: 164.50, RSI(talib): 70.96
3090.TW, Close: 73.80, RSI(talib): 67.18
6165.TW, Close: 60.50, RSI(talib): 71.91
3528.TW, Close: 92.00, RSI(talib): 60.94
--------------
1760.TW (Close: 70.5) failed (Can't get stock info: 1760.TW, Current Price: 70.5, 52 Week High: 104.5, 52 Week Low: 56.0, 50 Day Average: 74.0, 150 Day Average: 81.88978086596858, 200 Day Average: 84.15, RSI: None)
1721.TW (Close: 12.5) failed (Can't get stock info: 1721.TW, Current Price: 12.5, 52 Week High: None, 52 Week Low: None, 50 Day Average: None, 150 Day Average: 16.03832107738857, 200 Day Average: None, RSI: 50.87769790228896)
6855.TW (Close: None) failed (argument of type 'NoneType' is not iterable)
--------------
Exception Stocks:
0056.TW (Exception)
0050.TW (Exception)
0052.TW (Exception)
00633L.TW (Exception)
00632R.TW (Exception)
00882.TW (Exception)
00953B.TW (Exception)
00885.TW (Exception)
00902.TW (Exception)
00949.TW (Exception)
00673R.TW (Exception)
00941.TW (Exception)
00936.TW (Exception)
00893.TW (Exception)
00680L.TW (Exception)
00945B.TW (Exception)
00954.TW (Exception)
00712.TW (Exception)
00960.TW (Exception)
00715L.TW (Exception)
00637L.TW (Exception)
00639.TW (Exception)
00665L.TW (Exception)
00642U.TW (Exception)
00650L.TW (Exception)
00753L.TW (Exception)
00655L.TW (Exception)
00752.TW (Exception)
006205.TW (Exception)
00671R.TW (Exception)
00929.TW (Exception)
00951.TW (Exception)
00636.TW (Exception)
00643.TW (Exception)
00939.TW (Exception)
00881.TW (Exception)
00713.TW (Exception)
00830.TW (Exception)
00664R.TW (Exception)
00669R.TW (Exception)
00676R.TW (Exception)
00947.TW (Exception)
00923.TW (Exception)
00935.TW (Exception)
006208.TW (Exception)
00891.TW (Exception)
00638R.TW (Exception)
00892.TW (Exception)
00651R.TW (Exception)
00634R.TW (Exception)
00631L.TW (Exception)
00878.TW (Exception)
00934.TW (Exception)
00919.TW (Exception)
00946.TW (Exception)
00918.TW (Exception)
00757.TW (Exception)
00940.TW (Exception)
00775B.TW (Exception)
00922.TW (Exception)
00961.TW (Exception)
00675L.TW (Exception)
00900.TW (Exception)
00952.TW (Exception)
00905.TW (Exception)
00850.TW (Exception)
00938.TW (Exception)
00944.TW (Exception)
00909.TW (Exception)
00688L.TW (Exception)
00897.TW (Exception)
00956.TW (Exception)
00898.TW (Exception)
00648R.TW (Exception)
00927.TW (Exception)
00943.TW (Exception)
00701.TW (Exception)
00903.TW (Exception)
00674R.TW (Exception)
0061.TW (Exception)
00932.TW (Exception)
00915.TW (Exception)
00963.TW (Exception)
00964.TW (Exception)
00706L.TW (Exception)
00965.TW (Exception)
00895.TW (Exception)
00907.TW (Exception)
00962.TW (Exception)
00717.TW (Exception)
00904.TW (Exception)
00646.TW (Exception)
00681R.TW (Exception)
00662.TW (Exception)
00930.TW (Exception)
00852L.TW (Exception)
00733.TW (Exception)
009800.TW (Exception)
009801.TW (Exception)
00710B.TW (Exception)
00924.TW (Exception)
00921.TW (Exception)
009802.TW (Exception)
009803.TW (Exception)
00635U.TW (Exception)
00762.TW (Exception)
00876.TW (Exception)
00916.TW (Exception)
00926.TW (Exception)
00700.TW (Exception)
00686R.TW (Exception)
00641R.TW (Exception)
00731.TW (Exception)
00670L.TW (Exception)
00708L.TW (Exception)
009804.TW (Exception)
00971.TW (Exception)
00861.TW (Exception)
00980A.TW (Exception)
0055.TW (Exception)
009805.TW (Exception)
